story_key,story_title,epic,story_type,user_story,workflow_use_case,expected_behavior,acceptance_criteria,story_sync,source_confidence,priority,status,linked_qa_tracker_ids,tested_fixtures,tested_specs,test_coverage_notes,notes,last_reviewed
2d-network:apply-network-styling,[2D Network] Apply and preserve network styling,2D Network,Settings/Controls,"As a MicrobeTrace user, I want to style the interactive 2D network from uploaded data and controls, so that I can visually distinguish data categories and preserve presentation choices.","Apply style files, color mappings, or styling controls to covered datasets and verify the interactive 2D network reflects the selected visual encoding.","2D Network applies covered colors, labels, sizes, shapes, and style-table edits consistently through filtering, grouping, timeline, and restore paths where applicable.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:S001; 2d-network:S002; 2d-network:S003; 2d-network:S004; 2d-network:S005; 2d-network:S006; 2d-network:SES001,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_Test_Style.style; TestStyleEdgelist_snp_weighted.csv,cypress/e2e/journeys/flows/apply-style-twod.cy.ts; cypress/e2e/journeys/flows/change-node-color.cy.ts; cypress/e2e/journeys/flows/change-link-color.cy.ts; cypress/e2e/journeys/flows/show-node-symbols.cy.ts; cypress/e2e/journeys/flows/style-background-selected.cy.ts; cypress/e2e/journeys/flows/style-minimum-cluster-survives.cy.ts; cypress/e2e/journeys/flows/style-threshold-survives.cy.ts; cypress/e2e/journeys/flows/style-grouping-survives.cy.ts; cypress/e2e/journeys/flows/session-roundtrip-uploaded.cy.ts,"Grouped from 7 QA tracker row(s): Apply style file; Background color; Selected color; Minimum Cluster Size filtering; Threshold filtering; Style survives grouping; Session save and reload round-trip. Source areas: Styling, Session.",Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:color-network-by-fields,[2D Network] Color nodes and links by uploaded fields,2D Network,Settings/Controls,"As a MicrobeTrace user, I want to style the interactive 2D network from uploaded data and controls, so that I can visually distinguish data categories and preserve presentation choices.","Apply style files, color mappings, or styling controls to covered datasets and verify the interactive 2D network reflects the selected visual encoding.","2D Network applies covered colors, labels, sizes, shapes, and style-table edits consistently through filtering, grouping, timeline, and restore paths where applicable.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:CB001; 2d-network:CB002; 2d-network:CB003; 2d-network:CB004; 2d-network:CB005,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/color-by-uploaded.cy.ts; cypress/e2e/journeys/flows/style-table-filtering-consistency.cy.ts,Grouped from 5 QA tracker row(s): Node color by variable via UI; Link color by variable via UI; Color table individual color change; Node color table consistency through filtering; Link color table consistency through filtering. Source areas: General Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:configure-link-rendering,"[2D Network] Configure link labels, arrows, widths, and transparency",2D Network,Settings/Controls,"As a MicrobeTrace user, I want to configure the interactive 2D network controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the interactive 2D network and verify each setting updates the rendered view or session state without corrupting data membership.,"2D Network control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:LNK001; 2d-network:LNK002; 2d-network:LNK003; 2d-network:LNK004; 2d-network:LNK006; 2d-network:LNK007; 2d-network:LNK008; 2d-network:LNK005; 2d-network:LNK009,AngularTesting_Distance_linklist_BS.csv; AngularTesting_seqs_TN93_BS.fasta; AngularTesting_DistanceMatrix_TN93_BS.xlsx; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_DirectedNodes.csv; Cypress_DirectedLinks.csv,cypress/e2e/journeys/flows/link-label-width.cy.ts; cypress/e2e/journeys/flows/link-tooltip-uploaded.cy.ts; cypress/e2e/view-state/twod-view.cy.ts; cypress/e2e/journeys/flows/behavior-contracts.cy.ts; cypress/e2e/journeys/flows/link-length-layout-pin.cy.ts; cypress/e2e/journeys/flows/link-width-opacity-uploaded.cy.ts; cypress/e2e/journeys/flows/link-arrows-uploaded.cy.ts,Grouped from 9 QA tracker row(s): Link labels and decimal length; Link tooltip content; Link width by variable and reciprocal; Link length + pin and recalc; Link width fixed control; Link transparency control; Link min and max width controls; Directed and bidirectional arrows; plus 1 additional covered scenarios. Source areas: 2D Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:configure-node-rendering,"[2D Network] Configure node labels, symbols, and sizing",2D Network,Settings/Controls,"As a MicrobeTrace user, I want to configure the interactive 2D network controls, so that I can adjust the analysis view and immediately see the correct result.",Use the covered controls for the interactive 2D network and verify each setting updates the rendered view or session state without corrupting data membership.,"2D Network control changes are reflected in the rendered view, maintain stable membership, and preserve documented control state where covered.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,2d-network:N001; 2d-network:N002; 2d-network:N003; 2d-network:N004; 2d-network:N005; 2d-network:N006; 2d-network:N007; 2d-network:N008,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_Test_Style.style,cypress/e2e/journeys/flows/style-node-label-tooltip.cy.ts; cypress/e2e/view-state/twod-view.cy.ts; cypress/e2e/journeys/flows/node-shape-size-uploaded.cy.ts; cypress/e2e/journeys/flows/node-label-visibility-uploaded.cy.ts; cypress/e2e/journeys/flows/style-table-filtering-consistency.cy.ts,Grouped from 8 QA tracker row(s): Node labels and tooltips; Node shapes and sizes without style; Node symbol table visibility; Node min and max size controls; Node fixed size control; Node border width control; Node label show/hide on uploaded data; Node symbol consistency through filtering. Source areas: 2D Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:export-network-output,[2D Network] Export network images,2D Network,Export,"As a MicrobeTrace user, I want to export the interactive 2D network outputs in supported formats, so that I can save and share analysis results outside the app.","Configure the interactive 2D network as needed, use the supported export actions, and verify the exported files or restored state match the current view.","2D Network exports supported formats without stale downloads, missing content, or mismatched view state. Session or restore paths preserve the configured state where covered.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,2d-network:EXP001,TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv,cypress/e2e/journeys/flows/network-export-uploaded.cy.ts,Grouped from 1 QA tracker row(s): 2D network export to image. Source areas: Export.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:filter-network,[2D Network] Filter visible links and clusters,2D Network,Settings/Controls,"As a MicrobeTrace user, I want to filter and refresh the interactive 2D network without stale results, so that I can trust that visible data matches the active analysis controls.","Change the covered filtering, threshold, cluster, or refresh controls and verify the interactive 2D network immediately reflects the current visible data.","2D Network recomputes rendered nodes, links, rows, or summaries from the active filters and clears stale state when the visible data changes.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:F001; 2d-network:F002; 2d-network:F003; 2d-network:F004; 2d-network:F005; 2d-network:F006; 2d-network:F007; 2d-network:F008; 2d-network:F009; 2d-network:F010; 2d-network:F011; 2d-network:F012,AngularTesting_DistanceMatrix_TN93_BS.xlsx; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv; COVID_Dummy_distance_edgelist_snp.csv; SARSCoV2_Simulated_Sequences_snp.fas; AngularTesting_Distance_linklist_BS.csv; AngularTesting_seqs_TN93_BS.fasta; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_FilterMetricNodes.csv; Cypress_FilterMetricLinks.csv,cypress/e2e/journeys/flows/change-link-threshold.cy.ts; cypress/e2e/journeys/flows/grouping-subtype-colors-threshold.cy.ts; cypress/e2e/journeys/flows/minimum-cluster-size-reveal.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-epsilon.cy.ts; cypress/e2e/journeys/flows/mixed-origin-nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/post-launch-distance-metric-switch.cy.ts; cypress/e2e/journeys/flows/filtering-threshold-sparkline.cy.ts; cypress/e2e/journeys/flows/filter-links-on-alternate-metric.cy.ts; cypress/e2e/journeys/flows/mixed-origin-threshold-nn-reveal.cy.ts; cypress/e2e/journeys/flows/threshold-stability-panel.cy.ts,Grouped from 12 QA tracker row(s): Threshold change; Minimum Cluster Size; Reveal Everything; Nearest Neighbor; Epsilon after Nearest Neighbor; Nearest Neighbor mixed-origin confirmation; Post-launch Distance Metric switch; Threshold with cluster minimum active; plus 4 additional covered scenarios. Source areas: Filtering.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:group-network-nodes,[2D Network] Group nodes and preserve grouped rendering,2D Network,Settings/Controls,"As a MicrobeTrace user, I want to group nodes and preserve grouped rendering, so that I can complete the covered analysis workflow reliably.",Exercise the covered 2D Network scenarios and verify the view reaches the expected state.,2D Network preserves the behavior covered by the linked QA tracker evidence.,"Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:G001; 2d-network:G002; 2d-network:G003; 2d-network:G004; 2d-network:G005; 2d-network:G006,AngularTesting_Epi_linklist_BS.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; Cypress_Test_Style.style,cypress/e2e/journeys/flows/grouping-basic-cluster.cy.ts; cypress/e2e/journeys/flows/grouping-subtype-colors-threshold.cy.ts; cypress/e2e/journeys/flows/grouping-uploaded-settings-filtering.cy.ts; cypress/e2e/view-state/twod-view.cy.ts; cypress/e2e/journeys/flows/style-grouping-survives.cy.ts,Grouped from 6 QA tracker row(s): Group by Cluster; Subtype polygons with colors and labels; Group label size and orientation; Grouping + Minimum Cluster Size; Grouping + style; Grouping + Reveal Everything. Source areas: Grouping.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:interact-with-network-canvas,[2D Network] Interact with the network canvas and selections,2D Network,Visualization Behavior,"As a MicrobeTrace user, I want to interact with the interactive 2D network data directly, so that I can inspect, select, and drill into the data shown in the view.","Select, hover, pan, zoom, expand, or otherwise interact with the rendered data in the interactive 2D network and verify the app updates the expected detail state.","2D Network interactions expose correct tooltips, selections, drilldowns, and synchronized state without leaking stale selections or rows.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,2d-network:NET001; 2d-network:NET002; 2d-network:NET003,AngularTesting_Distance_linklist_BS.csv,cypress/e2e/journeys/flows/network-display-uploaded.cy.ts; cypress/e2e/view-state/twod-view.cy.ts; cypress/e2e/journeys/flows/node-drag-uploaded.cy.ts; cypress/e2e/journeys/flows/node-box-select-uploaded.cy.ts,Grouped from 3 QA tracker row(s): Gridlines and neighbor highlight; Node drag sync; Multi-node box select on uploaded data. Source areas: 2D Settings.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:load-supported-data,[2D Network] Load supported datasets into the interactive network,2D Network,Data Processing,"As a MicrobeTrace user, I want to launch the interactive 2D network from supported uploaded datasets, so that I can start analysis without manually preparing intermediate files.","Load the supported file combinations listed in QA evidence, open the interactive 2D network, and confirm the rendered state reflects the uploaded data.","2D Network accepts covered file types, derives or maps required data, and renders a stable view with expected counts, labels, tables, or visual marks for each supported load path.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P0,Draft,2d-network:L001; 2d-network:L002; 2d-network:L003; 2d-network:L004; 2d-network:L005; 2d-network:L006; 2d-network:L007; 2d-network:L008,COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_Distance_linklist_BS.csv; AngularTesting_DistanceMatrix_TN93_BS.xlsx; SARSCoV2_Simulated_Sequences_snp.fas; AngularTesting_seqs_TN93_BS.fasta; TestStyleNodelist_snp.csv; TestStyleEdgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv; AngularTesting_seqs_TN93_BS.nwk; LargeDataSet_Test_sequences_node.csv; Large_Dataset_forTesting_epiLinks.csv,cypress/e2e/journeys/flows/upload-launch-twod.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor.cy.ts; cypress/e2e/journeys/flows/nearest-neighbor-angulartesting.contract.cy.ts; cypress/e2e/journeys/flows/apply-style-twod.cy.ts; cypress/e2e/ingestion/files-ui.cy.ts; cypress/e2e/journeys/flows/grouping-subtype-colors-threshold.cy.ts; cypress/e2e/journeys/flows/mixed-origin-nearest-neighbor.cy.ts,Grouped from 8 QA tracker row(s): Load Distance edgelist data; Load Distance matrix data; Load FASTA data; Load Node list + link list data; Load Sequence node list data; Load Newick data; Load Mixed-origin data; Load Large dataset 2D data. Source areas: Load Matrix.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
2d-network:play-network-timeline,[2D Network] Play and inspect timeline states,2D Network,Settings/Controls,"As a MicrobeTrace user, I want to inspect time-based changes in the interactive 2D network, so that I can understand how the visible data changes over time.","Apply timeline controls to the covered datasets, play or scrub checkpoints, and verify the interactive 2D network updates only the intended target state.","2D Network keeps timeline membership, colors, and non-target view behavior consistent with the covered checkpoint expectations.","Given the linked QA tracker scenarios, when the user performs the covered 2D Network workflow, then the expected behavior remains true for each listed fixture and spec.; Given the listed Cypress specs are run, when they pass, then this story has automated evidence for the grouped acceptance checks.; Given linked QA evidence changes, when this story is regenerated, then tested fixtures, specs, and coverage notes stay aligned with the current QA trackers.",false,High,P1,Draft,2d-network:TL001; 2d-network:TL002; 2d-network:TL003; 2d-network:TL004; 2d-network:TL005,COVID-19_simulated_NodeList_snp.csv; COVID_Dummy_distance_edgelist_snp.csv; AngularTesting_nodelist_withseqs_TN93_BS.csv; AngularTesting_Epi_linklist_BS.csv,cypress/e2e/journeys/flows/timeline-oracle.cy.ts; cypress/e2e/journeys/flows/twod-timeline-controls-uploaded.cy.ts,Grouped from 5 QA tracker row(s): Deterministic uploaded 2D checkpoints; Play/pause progression in 2D; Manual slider checkpoints in 2D; Node-color persistence after 2D timeline teardown; Link-color persistence after 2D timeline teardown. Source areas: Timeline.,Generated as a grouped user story from QA tracker evidence. Review title and behavior language before enabling story_sync.,2026-04-22
