epic_key,epic_title,epic_type,epic_summary,product_outcome,in_scope,acceptance_signals,constraints,epic_sync,source_confidence,priority,status,linked_story_keys,notes,last_reviewed
cross-cutting:data-ingestion-and-view-launch,[Cross-Cutting] Ingest supported datasets and launch analysis views,Cross-Cutting Capability,"Provide a consistent client-side path for turning supported files and derived datasets into usable analysis views without requiring intermediate backend preparation.","Analysts can move from supported input files to the correct analysis surface with predictable launch behavior and derived data available across the app.","upload supported sequence distance node link tree and date-backed datasets; launch or switch into the intended analysis views; preserve derived datasets for downstream surfaces; handle incomplete or incompatible input gracefully","supported datasets launch into the intended analysis surfaces without manual intermediate transforms; downstream views receive the derived client-side data they expect; incompatible or partial input fails predictably instead of producing silent corruption; large reference datasets still produce usable starting state","Keep ingestion scope client-side and in-browser; do not expand this epic into backend pipelines or mobile upload workflows; treat existing map or analytics integrations as optional dependencies rather than new platform work",false,High,P0,Draft,2d-network:load-supported-data;map-view:load-supported-data;table-view:load-supported-data;aggregate-view:load-supported-data;crosstab-view:load-supported-data;alignment-view:alignment-integration;alignment-view:load-supported-data;phylogenetic-view:load-supported-data;heatmap-view:load-supported-data;bubble-view:load-supported-data;epi-curve:load-supported-data;gantt-chart:load-supported-data;sankey-view:load-supported-data;waterfall-view:load-supported-data,Intentional overlap with surface epics. Use this epic when work changes dataset handling across more than one view.,2026-04-23
cross-cutting:filtering-clustering-and-visible-membership,[Cross-Cutting] Preserve filtering clustering and visible membership contracts,Cross-Cutting Capability,"Keep threshold clustering reveal and downstream membership behavior consistent as analysts move between network-driven views and derived summaries.","Analysts can trust that filtering and reclustering changes update visible membership and dependent summaries coherently across the app.","threshold and cluster-size filtering; reveal and membership changes; downstream aggregate map crosstab dashboard and waterfall refresh behavior; table filtering and exact membership contracts; heatmap reactions to shared global settings","filtering changes update visible rows nodes links and clusters consistently across affected views; dependent summaries and drilldowns refresh without stale counts; cluster-derived visuals remain coherent after membership changes; empty states appear intentionally when filtering removes all visible data","Preserve existing client-side filtering semantics instead of inventing a second query model; desktop control density is acceptable; no separate mobile filtering UX is required",false,Medium,P0,Draft,2d-network:filter-network;2d-network:group-network-nodes;2d-network:preserve-cross-feature-network-contracts;map-view:filter-refresh-data;dashboard:filter-refresh-data;aggregate-view:filter-refresh-data;crosstab-view:filter-refresh-data;heatmap-view:cross-feature;table-view:configure-controls;waterfall-view:filter-refresh-data,Intentional overlap with surface epics. Use this epic for any change that risks inconsistent visible membership between views.,2026-04-23
cross-cutting:styling-and-color-mapping,[Cross-Cutting] Preserve styling color mapping and rendering controls,Cross-Cutting Capability,"Coordinate shared style behavior so labels colors sizes widths and other visual encodings stay interpretable across network and analysis surfaces.","Analysts can change styling and color encodings without losing meaning as they move between views or refresh data.","style-file application; field-driven color mapping; label and size controls; node link branch and sequence rendering controls; dashboard-level style propagation; visual encodings that must survive filtering grouping or timeline changes","shared style changes propagate to dependent views where expected; field-driven color mappings remain stable through filtering grouping and restoration flows; desktop visual encodings remain legible and interpretable; view-specific styling controls do not break cross-view color contracts","Do not expand this epic into a new design system or mobile-specific restyling work; stay within existing client-side controls and rendering engines",false,Medium,P1,Draft,2d-network:apply-network-styling;2d-network:color-network-by-fields;2d-network:configure-link-rendering;2d-network:configure-node-rendering;map-view:map-render-data;map-view:style-rendering;dashboard:style-rendering;alignment-view:map-render-data;alignment-view:style-rendering;phylogenetic-view:map-render-data;phylogenetic-view:style-rendering;heatmap-view:configure-controls;bubble-view:style-rendering;epi-curve:style-rendering;gantt-chart:configure-controls;gantt-chart:map-render-data;sankey-view:combo;sankey-view:style-rendering,Intentional overlap with surface epics. Use this epic for changes that affect shared rendering semantics across more than one surface.,2026-04-23
cross-cutting:time-based-exploration-and-temporal-comparison,[Cross-Cutting] Explore time-based states and temporal comparisons,Cross-Cutting Capability,"Support the shared timeline and temporal comparison behaviors that let analysts inspect how clustered data changes over time without breaking base view state.","Analysts can step through dated states compare checkpoints and review time-based changes from the same client-side workspace.","timeline play and pause controls; manual checkpoints; temporal comparisons in target views; dataset-specific time isolation; chronological ordering for time-based summaries","timeline or temporal controls update only the intended surfaces; manual checkpoints and playback preserve stable non-temporal state when they end; temporal comparisons remain chronologically ordered and interpretable; views that are not the timeline target avoid stale or leaked state","Limit scope to the existing client-side timeline and time-based controls; do not add mobile playback UX or backend scheduling features",false,Medium,P1,Draft,2d-network:play-network-timeline;map-view:timeline;dashboard:timeline;aggregate-view:timeline;crosstab-view:timeline;bubble-view:timeline;epi-curve:configure-controls;epi-curve:multi-date;waterfall-view:timeline,Intentional overlap with surface epics. Use this epic for work that changes shared temporal behavior rather than one isolated view only.,2026-04-23
cross-cutting:exported-outputs-and-analyst-deliverables,[Cross-Cutting] Export analyst-ready outputs across views,Cross-Cutting Capability,"Preserve the ability to turn current analysis state into images files tables and shareable artifacts directly from the client-side app.","Analysts can export the visible analysis state into the file types required for review communication and downstream processing.","image exports; table and data exports; archive and report outputs; export dialogs and advanced quality controls; surface-specific export fidelity","exports reflect the visible state filters ordering or layout that the surface promises to preserve; supported file types remain available from the relevant views; client-side exports succeed without relying on backend report generation; advanced scale and quality controls remain predictable","Keep export generation client-side; do not expand this epic into server-rendered reporting or mobile sharing flows",false,High,P0,Draft,2d-network:export-network-output;map-view:export-and-restore;dashboard:export-output;table-view:export-output;aggregate-view:export-output;crosstab-view:export-and-restore;alignment-view:export-output;phylogenetic-view:export-and-restore;phylogenetic-view:export-output;heatmap-view:export-and-restore;bubble-view:export-and-restore;epi-curve:export-and-restore;gantt-chart:export-output;sankey-view:export-and-restore,Intentional overlap with surface epics. Use this epic when export expectations need to stay coherent across multiple views.,2026-04-23
cross-cutting:session-persistence-and-restored-state,[Cross-Cutting] Save restore and reopen state across analysis surfaces,Cross-Cutting Capability,"Preserve the saved session and restored-state behaviors that let analysts leave and return to meaningful in-progress work.","Analysts can reopen sessions or views without losing essential rendering layout or comparison state.","session save and restore; view reopen persistence; restored map layer and tree state; restored dashboard and derived-view context; stateful layouts that should survive refresh or navigation","saved sessions restore the critical controls visuals and layout state promised by each surface; reopen flows do not leak stale selection or orphaned state; restored views remain consistent with current client-side data and filtering; stateful behavior remains deterministic enough for QA review","Keep persistence client-side and single-user; do not expand this epic into backend storage collaboration features or mobile resume behavior",false,Medium,P0,Draft,dashboard:save-restore-state;dashboard:manage-view-layout;map-view:export-and-restore;crosstab-view:export-and-restore;bubble-view:export-and-restore;heatmap-view:export-and-restore;heatmap-view:save-restore-state;phylogenetic-view:export-and-restore;phylogenetic-view:save-restore-state;aggregate-view:manage-view-layout;alignment-view:manage-view-layout;bubble-view:manage-view-layout;gantt-chart:manage-view-layout;waterfall-view:manage-view-layout;waterfall-view:save-restore-state,Intentional overlap with surface epics. Use this epic for persistence or lifecycle work that spans more than one view.,2026-04-23
cross-cutting:shared-selection-and-workspace-composition,[Cross-Cutting] Synchronize shared selection drilldown and workspace composition,Cross-Cutting Capability,"Keep cross-view selection drilldown and dashboard composition behavior coherent so analysts can compare surfaces without stale context.","Analysts can inspect related state across views and dashboard panes while keeping selections and drilldowns intentional.","shared selection propagation; drilldown clearing rules; dashboard pane composition; cross-view table ordering; interaction patterns that depend on another surface remaining in sync","selection propagates only to the surfaces that should react; stale drilldown state is cleared when the upstream selection changes; dashboard layouts keep the right panes connected to shared state; cross-view inspection stays understandable without backend coordination","Focus on desktop multi-pane workflows and existing client-side shared state; do not expand this epic into role-based collaboration or mobile split-view work",false,Medium,P0,Draft,2d-network:interact-with-network-canvas;map-view:interact-with-view;dashboard:manage-view-layout;table-view:cross-view;table-view:dashboard-integration;alignment-view:interact-with-view;phylogenetic-view:interact-with-view;bubble-view:dashboard-integration;bubble-view:interact-with-view;sankey-view:interact-with-view;waterfall-view:dashboard-integration;waterfall-view:interact-with-view;waterfall-view:waterfall-details,Intentional overlap with surface epics. Use this epic for work that changes how multiple views stay in sync.,2026-04-23
2d-network:interactive-network-analysis,[2D Network] Interactive network analysis surface,Analysis Surface,"Provide the primary interactive network workspace for loading filtering styling grouping and inspecting clustered relationship data.","Analysts can move from loaded relationship data to an interpretable 2D network without leaving the client-side app.","load supported 2D datasets; configure node and link rendering; filter visible links and clusters; group nodes; inspect selections; export network output; review timeline states; preserve styling contracts","supported relationship datasets open into a usable network; filtering grouping and styling controls remain coherent together; node and link inspection behaves predictably on desktop; exported network output reflects visible state","Use the existing client-side Cytoscape-based experience as the baseline; no mobile-specific network layout optimization is required",false,High,P0,Draft,2d-network:apply-network-styling;2d-network:color-network-by-fields;2d-network:configure-link-rendering;2d-network:configure-node-rendering;2d-network:export-network-output;2d-network:filter-network;2d-network:group-network-nodes;2d-network:interact-with-network-canvas;2d-network:load-supported-data;2d-network:play-network-timeline;2d-network:preserve-cross-feature-network-contracts,Primary surface epic for the 2D Network tab.,2026-04-23
aggregate-view:aggregate-analysis,[Aggregate] Aggregated summary analysis surface,Analysis Surface,"Provide the aggregate workspace for summarizing node and link data into configurable tables that respond to view state and filtering.","Analysts can build aggregate summaries and compare grouped results without manual spreadsheet preparation outside the app.","build aggregate tables from supported datasets; add sort resize and reorder tables; refresh tables after filtering or reclustering; export aggregate outputs; manage aggregate layout; review timeline changes","aggregate tables reflect the active dataset and grouping choices; table configuration changes remain stable and predictable; downstream filtering and reclustering refresh the affected summaries; exported aggregate outputs match the configured tables","Keep scope inside the existing client-side aggregate tables and exports; do not expand this epic into external reporting systems or mobile table redesign",false,High,P1,Draft,aggregate-view:configure-controls;aggregate-view:export-output;aggregate-view:filter-refresh-data;aggregate-view:load-supported-data;aggregate-view:manage-tables;aggregate-view:manage-view-layout;aggregate-view:timeline,Primary surface epic for the Aggregate view.,2026-04-23
alignment-view:sequence-alignment-analysis,[Alignment] Sequence alignment analysis surface,Analysis Surface,"Provide the alignment workspace for sequence-backed datasets including labels ordering sizing display modes and sequence exports.","Analysts can inspect aligned sequence data and switch between nucleotide codon and amino-acid perspectives from one desktop surface.","launch sequence-backed datasets into Alignment; configure labels ordering and display modes; size and window the canvas; inspect sequence positions; style sequence rendering; export aligned data and images","supported sequence datasets launch into a usable alignment view; sequence inspection controls remain synchronized with the rendered canvas; display modes and styling remain interpretable; exported alignment artifacts reflect the configured state","Assume a desktop analysis surface with dense sequence controls; do not add mobile-specific alignment UX or backend sequence services",false,High,P1,Draft,alignment-view:alignment-integration;alignment-view:alignment-labels-and-order;alignment-view:alignment-sizing;alignment-view:configure-controls;alignment-view:export-output;alignment-view:interact-with-view;alignment-view:load-supported-data;alignment-view:manage-view-layout;alignment-view:map-render-data;alignment-view:style-rendering,Primary surface epic for the Alignment view.,2026-04-23
